Relative Path,File Type,File Size,In Xcode Project,Target Membership,Build Phase,Static Ref Count,Dynamic Risk,Classification,Confidence
Pure Pets/BirdsCards/Helpers/selectArchiveVC.h,source,1358,Yes,,,3,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Helpers/selectArchiveVC.m,source,45307,Yes,Pure Pets,Sources,3,Yes,,
Pure Pets/BirdsCards/Helpers/selectUserVC.h,source,698,Yes,,,4,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Helpers/selectUserVC.m,source,16685,Yes,Pure Pets,Sources,33,Yes,,
Pure Pets/BirdsCards/MainControllerFiles/MainController.h,source,2113,Yes,,,43,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/MainControllerFiles/MainController.m,source,136238,Yes,Pure Pets,Sources,17,Yes,,
Pure Pets/BirdsCards/MainControllerFiles/MainControllerHelper.h,source,6198,Yes,,,9,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/MainControllerFiles/MainControllerHelper.m,source,46512,Yes,Pure Pets,Sources,17,Yes,,
Pure Pets/BirdsCards/MainControllerFiles/MainController_Func.h,source,287,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/MainControllerFiles/MainController_Func.m,source,592,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/NewCardForm.h,source,1000,Yes,,,12,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/NewCardForm.m,source,174668,Yes,Pure Pets,Sources,12,Yes,,
Pure Pets/BirdsCards/PPMainCells/PPBirdCardView.h,source,1718,Yes,,,261,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/PPMainCells/PPBirdCardView.m,source,10348,Yes,Pure Pets,Sources,7,No,,
Pure Pets/BirdsCards/PPMainCells/PPCageCell.h,source,935,Yes,,,342,No,PROTECTED OR REQUIRED,Protected
